Exercise ID,Title (RU),Instructions (RU),Tips (RU),SQL Update Instructions,SQL Update Tips
27,"Разминка шеи","Встаньте прямо, ноги на ширине плеч | Медленно поворачивайте голову влево и вправо | Наклоняйте голову вперед и назад | Выполняйте круговые движения головой | Держите плечи расслабленными","Двигайтесь медленно и плавно | Не делайте резких движений | При появлении боли остановитесь | Дышите глубоко и равномерно",UPDATE exercises SET instructions_ru = '[\"Встаньте прямо, ноги на ширине плеч\",\"Медленно поворачивайте голову влево и вправо\",\"Наклоняйте голову вперед и назад\",\"Выполняйте круговые движения головой\",\"Держите плечи расслабленными\"]' WHERE exercise_id = '27';,UPDATE exercises SET tips_ru = '[\"Двигайтесь медленно и плавно\",\"Не делайте резких движений\",\"При появлении боли остановитесь\",\"Дышите глубоко и равномерно\"]' WHERE exercise_id = '27';
28,"Разминка запястий","Вытяните руки перед собой | Согните запястья вверх и вниз | Поворачивайте запястья по кругу | Сжимайте и разжимайте кулаки | Растягивайте пальцы в стороны","Выполняйте движения медленно | Не перенапрягайте суставы | Следите за ощущениями в запястьях | Повторяйте регулярно",UPDATE exercises SET instructions_ru = '[\"Вытяните руки перед собой\",\"Согните запястья вверх и вниз\",\"Поворачивайте запястья по кругу\",\"Сжимайте и разжимайте кулаки\",\"Растягивайте пальцы в стороны\"]' WHERE exercise_id = '28';,UPDATE exercises SET tips_ru = '[\"Выполняйте движения медленно\",\"Не перенапрягайте суставы\",\"Следите за ощущениями в запястьях\",\"Повторяйте регулярно\"]' WHERE exercise_id = '28';
29,"Разминка коленей","Встаньте прямо, ноги на ширине плеч | Медленно сгибайте и разгибайте колени | Выполняйте круговые движения коленями | Делайте приседания с небольшой амплитудой | Растягивайте переднюю поверхность бедра","Не делайте глубоких приседаний | Двигайтесь плавно и контролируемо | При боли в коленях уменьшите амплитуду | Следите за правильной техникой",UPDATE exercises SET instructions_ru = '[\"Встаньте прямо, ноги на ширине плеч\",\"Медленно сгибайте и разгибайте колени\",\"Выполняйте круговые движения коленями\",\"Делайте приседания с небольшой амплитудой\",\"Растягивайте переднюю поверхность бедра\"]' WHERE exercise_id = '29';,UPDATE exercises SET tips_ru = '[\"Не делайте глубоких приседаний\",\"Двигайтесь плавно и контролируемо\",\"При боли в коленях уменьшите амплитуду\",\"Следите за правильной техникой\"]' WHERE exercise_id = '29';
30,"Разминка тазобедренных суставов","Встаньте прямо, ноги на ширине плеч | Поднимайте колено к груди | Отводите ногу в сторону и назад | Выполняйте круговые движения бедром | Делайте выпады с небольшой амплитудой","Держите спину прямой | Работайте в комфортной амплитуде | Не торопитесь с движениями | Следите за балансом",UPDATE exercises SET instructions_ru = '[\"Встаньте прямо, ноги на ширине плеч\",\"Поднимайте колено к груди\",\"Отводите ногу в сторону и назад\",\"Выполняйте круговые движения бедром\",\"Делайте выпады с небольшой амплитудой\"]' WHERE exercise_id = '30';,UPDATE exercises SET tips_ru = '[\"Держите спину прямой\",\"Работайте в комфортной амплитуде\",\"Не торопитесь с движениями\",\"Следите за балансом\"]' WHERE exercise_id = '30';
31,"Растяжка паха","Сядьте на пол, согните ноги в коленях | Соедините подошвы стоп вместе | Аккуратно наклонитесь вперед | Потяните колени к полу | Удерживайте растяжку 30 секунд","Не форсируйте растяжку | Дышите глубоко и расслабляйтесь | При боли уменьшите амплитуду | Выполняйте после разминки",UPDATE exercises SET instructions_ru = '[\"Сядьте на пол, согните ноги в коленях\",\"Соедините подошвы стоп вместе\",\"Аккуратно наклонитесь вперед\",\"Потяните колени к полу\",\"Удерживайте растяжку 30 секунд\"]' WHERE exercise_id = '31';,UPDATE exercises SET tips_ru = '[\"Не форсируйте растяжку\",\"Дышите глубоко и расслабляйтесь\",\"При боли уменьшите амплитуду\",\"Выполняйте после разминки\"]' WHERE exercise_id = '31';
32,"Растяжка подколенных сухожилий","Сядьте на пол, вытяните ноги вперед | Наклонитесь вперед, стараясь достать до стоп | Обхватите стопы руками | Потянитесь грудью к коленям | Удерживайте растяжку 30-45 секунд","Не округляйте спину | Работайте в комфортной амплитуде | Дышите глубоко | Следите за ощущениями в задней поверхности бедра",UPDATE exercises SET instructions_ru = '[\"Сядьте на пол, вытяните ноги вперед\",\"Наклонитесь вперед, стараясь достать до стоп\",\"Обхватите стопы руками\",\"Потянитесь грудью к коленям\",\"Удерживайте растяжку 30-45 секунд\"]' WHERE exercise_id = '32';,UPDATE exercises SET tips_ru = '[\"Не округляйте спину\",\"Работайте в комфортной амплитуде\",\"Дышите глубоко\",\"Следите за ощущениями в задней поверхности бедра\"]' WHERE exercise_id = '32';
33,"Растяжка икроножных мышц","Встаньте лицом к стене | Поставьте одну ногу вперед, другую назад | Опустите пятку задней ноги на пол | Наклонитесь вперед, растягивая икры | Поменяйте ноги и повторите","Держите заднюю ногу прямой | Не отрывайте пятку от пола | Растягивайтесь плавно | Выполняйте для обеих ног",UPDATE exercises SET instructions_ru = '[\"Встаньте лицом к стене\",\"Поставьте одну ногу вперед, другую назад\",\"Опустите пятку задней ноги на пол\",\"Наклонитесь вперед, растягивая икры\",\"Поменяйте ноги и повторите\"]' WHERE exercise_id = '33';,UPDATE exercises SET tips_ru = '[\"Держите заднюю ногу прямой\",\"Не отрывайте пятку от пола\",\"Растягивайтесь плавно\",\"Выполняйте для обеих ног\"]' WHERE exercise_id = '33';
34,"Растяжка грудных мышц","Встаньте в дверном проеме | Поставьте руки на косяки двери | Сделайте шаг вперед | Почувствуйте растяжение в груди | Удерживайте растяжку 30 секунд","Не перенапрягайте плечи | Дышите глубоко | Растягивайтесь постепенно | Следите за ощущениями",UPDATE exercises SET instructions_ru = '[\"Встаньте в дверном проеме\",\"Поставьте руки на косяки двери\",\"Сделайте шаг вперед\",\"Почувствуйте растяжение в груди\",\"Удерживайте растяжку 30 секунд\"]' WHERE exercise_id = '34';,UPDATE exercises SET tips_ru = '[\"Не перенапрягайте плечи\",\"Дышите глубоко\",\"Растягивайтесь постепенно\",\"Следите за ощущениями\"]' WHERE exercise_id = '34';
35,"Растяжка трицепсов","Поднимите одну руку вверх | Согните руку в локте за головой | Другой рукой потяните локоть вниз | Почувствуйте растяжение трицепса | Поменяйте руки и повторите","Не делайте резких движений | Растягивайтесь плавно | Дышите равномерно | Выполняйте для обеих рук",UPDATE exercises SET instructions_ru = '[\"Поднимите одну руку вверх\",\"Согните руку в локте за головой\",\"Другой рукой потяните локоть вниз\",\"Почувствуйте растяжение трицепса\",\"Поменяйте руки и повторите\"]' WHERE exercise_id = '35';,UPDATE exercises SET tips_ru = '[\"Не делайте резких движений\",\"Растягивайтесь плавно\",\"Дышите равномерно\",\"Выполняйте для обеих рук\"]' WHERE exercise_id = '35';
36,"Змейка между конусами","Расставьте конусы змейкой на расстоянии 2-3 метра | Начните бег, огибая каждый конус | Держите низкий центр тяжести | Работайте ногами быстро и часто | Следите за правильной техникой поворотов","Начинайте с медленного темпа | Следите за техникой, а не за скоростью | Держите голову поднятой | Используйте короткие быстрые шаги",UPDATE exercises SET instructions_ru = '[\"Расставьте конусы змейкой на расстоянии 2-3 метра\",\"Начните бег, огибая каждый конус\",\"Держите низкий центр тяжести\",\"Работайте ногами быстро и часто\",\"Следите за правильной техникой поворотов\"]' WHERE exercise_id = '36';,UPDATE exercises SET tips_ru = '[\"Начинайте с медленного темпа\",\"Следите за техникой, а не за скоростью\",\"Держите голову поднятой\",\"Используйте короткие быстрые шаги\"]' WHERE exercise_id = '36';
37,"Быстрые касания ногами","Встаньте рядом с мячом | Быстро касайтесь мяча ногой | Меняйте ноги каждые 2-3 касания | Поддерживайте постоянный ритм | Выполните 30-60 секунд","Держите вес тела на опорной ноге | Работайте быстро, но контролируемо | Не теряйте равновесие | Следите за техникой касания",UPDATE exercises SET instructions_ru = '[\"Встаньте рядом с мячом\",\"Быстро касайтесь мяча ногой\",\"Меняйте ноги каждые 2-3 касания\",\"Поддерживайте постоянный ритм\",\"Выполните 30-60 секунд\"]' WHERE exercise_id = '37';,UPDATE exercises SET tips_ru = '[\"Держите вес тела на опорной ноге\",\"Работайте быстро, но контролируемо\",\"Не теряйте равновесие\",\"Следите за техникой касания\"]' WHERE exercise_id = '37';
